key,sr_refnum,has_title,has_author,source,title_confidence,author_confidence,needs_human_review,problem_reason
Chen2026_ref0108,108,true,true,local,0.75,0.55,false,from_after_authors
Chen2026_ref0109,109,true,true,local,0.75,0.55,false,from_after_authors
Chen2026_ref0110,110,true,true,local,0.75,0.55,false,from_after_authors
Chen2026_ref0111,111,true,true,local,0.75,0.55,false,from_title_repair
Chen2026_ref0112,112,true,true,local,0.60,0.55,false,from_first_segment
Chen2026_ref0113,113,true,true,local,0.75,0.55,false,from_title_repair
Chen2026_ref0114,114,true,true,local,0.75,0.55,false,from_title_repair
Chen2026_ref0115,115,true,true,local,0.75,0.55,false,from_title_repair
Chen2026_ref0116,116,true,true,local,0.60,0.55,false,from_first_segment
Chen2026_ref0117,117,true,true,local,0.75,0.55,false,from_after_authors
Chen2026_ref0118,118,true,true,local,0.75,0.55,false,from_after_authors
Chen2026_ref0119,119,true,true,local,0.75,0.55,false,from_after_authors
Chen2026_ref0120,120,true,true,local,0.75,0.55,false,from_after_authors
Chen2026_ref0121,121,true,true,local,0.75,0.55,false,from_after_authors
Chen2026_ref0122,122,true,true,local,0.75,0.55,false,from_after_authors
Chen2026_ref0123,123,true,true,local,0.75,0.55,false,from_title_repair
