bibkey,title,match_confidence,score,method
allen-zhu_interpretability_2024,Interpretability of {Language} {Models} for {Learning} {Hierarchical} {Structures,,,appendix long table_refrences.tex: \cite* keys
alt_probing_2020,Probing {Linguistic} {Features} of {Sentence}-{Level} {Representations} in {Neural} {Relation} {Extraction,,,appendix long table_refrences.tex: \cite* keys
alzetta_parallel_2025,Parallel {Trees}: a novel resource with aligned dependencyand constituency syntactic representations,,,appendix long table_refrences.tex: \cite* keys
alzetta_probing_2022,Probing {BERT} on {Syntactic} {Representation} {Paradigms}: {Dependency} vs {Constituency} {Tree,,,appendix long table_refrences.tex: \cite* keys
ambridge_large_2024,Large language models are better than theoretical linguists at theoretical linguistics,,,appendix long table_refrences.tex: \cite* keys
amini_naturalistic_2023,Naturalistic {Causal} {Probing} for {Morpho}-{Syntax,,,appendix long table_refrences.tex: \cite* keys
aoyama:schneider:2022,Probe-Less Probing of {BERT}{'}s Layer-Wise Linguistic Knowledge with Masked Word Prediction,,,appendix long table_refrences.tex: \cite* keys
aoyama_language_2025,Language {Models} {Grow} {Less} {Humanlike} beyond {Phase} {Transition,,,appendix long table_refrences.tex: \cite* keys
arehalli_neural_2024,Neural {Networks} as {Cognitive} {Models} of the {Processing} of {Syntactic} {Constraints,,,appendix long table_refrences.tex: \cite* keys
arora_causalgym_2024,CausalGym}: {Benchmarking} causal interpretability methods on linguistic tasks,,,appendix long table_refrences.tex: \cite* keys
arps_multilingual_2024,Multilingual {Nonce} {Dependency} {Treebanks}: {Understanding} how {Language} {Models} {Represent} and {Process} {Syntactic} {Structure,,,appendix long table_refrences.tex: \cite* keys
arps_probing_2022,Probing for {Constituency} {Structure} in {Neural} {Language} {Models,,,appendix long table_refrences.tex: \cite* keys
artetxe_cross-lingual_2020,On the {Cross}-lingual {Transferability} of {Monolingual} {Representations,,,appendix long table_refrences.tex: \cite* keys
asher_limits_2023,Limits for learning with language models,,,appendix long table_refrences.tex: \cite* keys
auyespek_hyperbolic_2022,Hyperbolic {Embedding} for {Finding} {Syntax} in {BERT,,,appendix long table_refrences.tex: \cite* keys
bacon_does_2019,Does {BERT} agree? {Evaluating} knowledge of structure dependence through agreement relations,,,appendix long table_refrences.tex: \cite* keys
bai_constituency_2023,Constituency {Parsing} using {LLMs,,,appendix long table_refrences.tex: \cite* keys
bai_syntax-bert_2021,Syntax-{BERT}: {Improving} {Pre}-trained {Transformers} with {Syntax} {Trees,,,appendix long table_refrences.tex: \cite* keys
bjerva_does_2021,Does {Typological} {Blinding} {Impede} {Cross}-{Lingual} {Sharing}?,,,appendix long table_refrences.tex: \cite* keys
blevins_prompting_2023,Prompting {Language} {Models} for {Linguistic} {Structure,,,appendix long table_refrences.tex: \cite* keys
bolucu_analysing_2022,Analysing {Syntactic} and {Semantic} {Features} in {Pre}-trained {Language} {Models} in a {Fully} {Unsupervised} {Setting,,,appendix long table_refrences.tex: \cite* keys
brinkmann_large_2025,Large {Language} {Models} {Share} {Representations} of {Latent} {Grammatical} {Concepts} {Across} {Typologically} {Diverse} {Languages,,,appendix long table_refrences.tex: \cite* keys
bunzeck_subword_2025,"Subword models struggle with word learning, but surprisal hides it",,,appendix long table_refrences.tex: \cite* keys
cao_multilingual_2019,Multilingual {Alignment} of {Contextual} {Word} {Representations,,,appendix long table_refrences.tex: \cite* keys
celikkanat_controlling_2020,Controlling the {Imprint} of {Passivization} and {Negation} in {Contextualized} {Representations,,,appendix long table_refrences.tex: \cite* keys
chang-etal-2021-convolutions,Convolutions and Self-Attention: {R}e-interpreting Relative Positions in Pre-trained Language Models,,,appendix long table_refrences.tex: \cite* keys
chang_bergen_2022,Word Acquisition in Neural Language Models,,,appendix long table_refrences.tex: \cite* keys
chang_when_2024,When {Is} {Multilinguality} a {Curse}? {Language} {Modeling} for 250 {High}- and {Low}-{Resource} {Languages,,,appendix long table_refrences.tex: \cite* keys
chaves_look_2021,Look at that! {BERT} can be easily distracted from paying attention to morphosyntax,,,appendix long table_refrences.tex: \cite* keys
chen2021probing,Probing {\{}BERT{\}} in Hyperbolic Spaces,,,appendix long table_refrences.tex: \cite* keys
chen_sudden_2023,Sudden {Drops} in the {Loss}: {Syntax} {Acquisition,,,appendix long table_refrences.tex: \cite* keys
chen_when_2024,When does word order matter and when doesn't it?,,,appendix long table_refrences.tex: \cite* keys
cheng_linguistic_2025,Linguistic {Blind} {Spots} of {Large} {Language} {Models,,,appendix long table_refrences.tex: \cite* keys
cherniavskii_acceptability_2022,Acceptability {Judgements} via {Examining} the {Topology} of {Attention} {Maps,,,appendix long table_refrences.tex: \cite* keys
chi_finding_2020,Finding {Universal} {Grammatical} {Relations} in {Multilingual} {BERT,,,appendix long table_refrences.tex: \cite* keys
choenni_investigating_2022,Investigating {Language} {Relationships} in {Multilingual} {Sentence} {Encoders} {Through} the {Lens} of {Linguistic} {Typology,,,appendix long table_refrences.tex: \cite* keys
choshen_grammar-learning_2022,The {Grammar}-{Learning} {Trajectories} of {Neural} {Language} {Models,,,appendix long table_refrences.tex: \cite* keys
chrupala_correlating_2019,Correlating {Neural} and {Symbolic} {Representations} of {Language,,,appendix long table_refrences.tex: \cite* keys
clark_cross-linguistic_2023,A {Cross}-{Linguistic} {Pressure} for {Uniform} {Information} {Density} in {Word} {Order,,,appendix long table_refrences.tex: \cite* keys
clark_what_2019,What {Does} {BERT} {Look} at? {An} {Analysis} of {BERT}'s {Attention,,,appendix long table_refrences.tex: \cite* keys
clouatre_local_2022,Local {Structure} {Matters} {Most} in {Most} {Languages,,,appendix long table_refrences.tex: \cite* keys
clouatre_local_2022-1,Local {Structure} {Matters} {Most}: {Perturbation} {Study} in {NLU,,,appendix long table_refrences.tex: \cite* keys
coenen_visualizing_2019,Visualizing and {Measuring} the {Geometry} of {BERT,,,appendix long table_refrences.tex: \cite* keys
conia_probing_2022,Probing for {Predicate} {Argument} {Structures} in {Pretrained} {Language} {Models,,,appendix long table_refrences.tex: \cite* keys
constantinescu_investigating_2025,Investigating {Critical} {Period} {Effects} in {Language} {Acquisition} through {Neural} {Language} {Models,,,appendix long table_refrences.tex: \cite* keys
dalvi_analyzing_2020,Analyzing {Redundancy} in {Pretrained} {Transformer} {Models,,,appendix long table_refrences.tex: \cite* keys
davis_discourse_2020,Discourse structure interacts with reference but not syntax in neural language models,,,appendix long table_refrences.tex: \cite* keys
de-dios-flores-etal-2023-dependency,Dependency resolution at the syntax-semantics interface: psycholinguistic and computational insights on control dependencies,,,appendix long table_refrences.tex: \cite* keys
de-dios-flores_computational_2022,A computational psycholinguistic evaluation of the syntactic abilities of {Galician} {BERT} models at the interface of dependency resolution and training time,,,appendix long table_refrences.tex: \cite* keys
de_varda_data-driven_2023,Data-driven {Cross}-lingual {Syntax}: {An} {Agreement} {Study} with {Massively} {Multilingual} {Models,,,appendix long table_refrences.tex: \cite* keys
dentella_language_2025,Language in vivo vs. in silico: {Size} matters but {Larger} {Language} {Models} still do not comprehend language on a par with humans due to impenetrable semantic reference,,,appendix long table_refrences.tex: \cite* keys
dentella_systematic_2023,"Systematic testing of three {Language} {Models} reveals low language accuracy, absence of response stability, and a yes-response bias",,,appendix long table_refrences.tex: \cite* keys
diehl_martinez_mitigating_2024,Mitigating {Frequency} {Bias} and {Anisotropy} in {Language} {Model} {Pre}-{Training} with {Syntactic} {Smoothing,,,appendix long table_refrences.tex: \cite* keys
duan_how_2025,How {Syntax} {Specialization} {Emerges} in {Language} {Models,,,appendix long table_refrences.tex: \cite* keys
duan_unnatural_2025,Unnatural {Languages} {Are} {Not} {Bugs} but {Features} for {LLMs,,,appendix long table_refrences.tex: \cite* keys
dufter-schutze-2020-identifying,Identifying Elements Essential for {BERT}{'}s Multilinguality,,,appendix long table_refrences.tex: \cite* keys
durrani_analyzing_2020,Analyzing {Individual} {Neurons} in {Pre}-trained {Language} {Models,,,appendix long table_refrences.tex: \cite* keys
eisape_probing_2022,Probing for {Incremental} {Parse} {States} in {Autoregressive} {Language} {Models,,,appendix long table_refrences.tex: \cite* keys
el_mesbahi_utility_2023,On the utility of enhancing {BERT} syntactic bias with {Token} {Reordering} {Pretraining,,,appendix long table_refrences.tex: \cite* keys
elazar_amnesic_2021,Amnesic {Probing}: {Behavioral} {Explanation} with {Amnesic} {Counterfactuals,,,appendix long table_refrences.tex: \cite* keys
elgaar_ling-cl_2023,Ling-{CL}: {Understanding} {NLP} {Models} through {Linguistic} {Curricula,,,appendix long table_refrences.tex: \cite* keys
ettinger_what_2020,What {BERT} {Is} {Not}: {Lessons} from a {New} {Suite} of {Psycholinguistic} {Diagnostics} for {Language} {Models,,,appendix long table_refrences.tex: \cite* keys
fayyaz_not_2021,Not {All} {Models} {Localize} {Linguistic} {Knowledge} in the {Same} {Place}: {A} {Layer}-wise {Probing} on {BERToids}' {Representations,,,appendix long table_refrences.tex: \cite* keys
feng-etal-2024-child,Is Child-Directed Speech Effective Training Data for Language Models?,,,appendix long table_refrences.tex: \cite* keys
ferrando_information_2024,Information {Flow} {Routes}: {Automatically} {Interpreting} {Language} {Models} at {Scale,,,appendix long table_refrences.tex: \cite* keys
ferrando_similarity_2024,On the {Similarity} of {Circuits} across {Languages}: a {Case} {Study} on the {Subject}-verb {Agreement} {Task,,,appendix long table_refrences.tex: \cite* keys
finlayson-etal-2021-causal,Causal Analysis of Syntactic Agreement Mechanisms in Neural Language Models,,,appendix long table_refrences.tex: \cite* keys
garcia_targeted_2022,A {Targeted} {Assessment} of the {Syntactic} {Abilities} of {Transformer} {Models} for {Galician}-{Portuguese,,,appendix long table_refrences.tex: \cite* keys
georges_gabriel_charpentier_not_2023,Not all layers are equally as important: {Every} {Layer} {Counts} {BERT,,,appendix long table_refrences.tex: \cite* keys
gessler_syntactic_2023,Syntactic {Inductive} {Bias} in {Transformer} {Language} {Models}: {Especially} {Helpful} for {Low}-{Resource} {Languages}?,,,appendix long table_refrences.tex: \cite* keys
ginn_tree_2024,Tree {Transformers} are an {Ineffective} {Model} of {Syntactic} {Constituency,,,appendix long table_refrences.tex: \cite* keys
glavas_is_2021,Is {Supervised} {Syntactic} {Parsing} {Beneficial} for {Language} {Understanding} {Tasks}? {An} {Empirical} {Investigation,,,appendix long table_refrences.tex: \cite* keys
goldberg_assessing_2019,Assessing {BERT}'s {Syntactic} {Abilities,,,appendix long table_refrences.tex: \cite* keys
guarasci_assessing_2023,Assessing {BERT}’s ability to learn {Italian} syntax: a study on null-subject and agreement phenomena,,,appendix long table_refrences.tex: \cite* keys
guarasci_bert_2022,BERT} syntactic transfer: {A} computational experiment on {Italian,,,appendix long table_refrences.tex: \cite* keys
gupta_bert_2021,BERT \& Family Eat Word Salad: Experiments with Text Understanding,,,appendix long table_refrences.tex: \cite* keys
gupta_deep_2021,Deep {Clustering} of {Text} {Representations} for {Supervision}-free {Probing} of {Syntax,,,appendix long table_refrences.tex: \cite* keys
gurnee_finding_2023,Finding {Neurons} in a {Haystack}: {Case} {Studies} with {Sparse} {Probing,,,appendix long table_refrences.tex: \cite* keys
hale_llms_2024,Do {LLMs} learn a true syntactic universal?,,,appendix long table_refrences.tex: \cite* keys
hao_verb_2023,Verb {Conjugation} in {Transformers} {Is} {Determined} by {Linear} {Encodings} of {Subject} {Number,,,appendix long table_refrences.tex: \cite* keys
he_decoding_2024,Decoding {Probing}: {Revealing} {Internal} {Linguistic} {Structures} in {Neural} {Language} {Models} {Using} {Minimal} {Pairs,,,appendix long table_refrences.tex: \cite* keys
he_large_2025,Large Language Models as Neurolinguistic Subjects: Discrepancy between Performance and Competence,,,appendix long table_refrences.tex: \cite* keys
hernandez_low-dimensional_2021,The {Low}-{Dimensional} {Linear} {Geometry} of {Contextualized} {Word} {Representations,,,appendix long table_refrences.tex: \cite* keys
hessel_how_2021,How effective is {BERT} without word ordering? {Implications} for language understanding and data privacy,,,appendix long table_refrences.tex: \cite* keys
hewitt-etal-2023-backpack,Backpack Language Models,,,appendix long table_refrences.tex: \cite* keys
hewitt_structural_2019,A {Structural} {Probe} for {Finding} {Syntax} in {Word} {Representations,,,appendix long table_refrences.tex: \cite* keys
hlavnova_empowering_2023,Empowering {Cross}-lingual {Behavioral} {Testing} of {NLP} {Models} with {Typological} {Features,,,appendix long table_refrences.tex: \cite* keys
hou_birds_2021,Bird's {Eye}: {Probing} for {Linguistic} {Graph} {Structures} with a {Simple} {Information}-{Theoretic} {Approach,,,appendix long table_refrences.tex: \cite* keys
hou_detecting_2023,Detecting {Syntactic} {Change} with {Pre}-trained {Transformer} {Models,,,appendix long table_refrences.tex: \cite* keys
htut_attention_2019,Do {Attention} {Heads} in {BERT} {Track} {Syntactic} {Dependencies}?,,,appendix long table_refrences.tex: \cite* keys
hu_auxiliary_2024,Auxiliary task demands mask the capabilities of smaller language models,,,appendix long table_refrences.tex: \cite* keys
hu_between_2025,Between {Circuits} and {Chomsky}: {Pre}-pretraining on {Formal} {Languages} {Imparts} {Linguistic} {Biases,,,appendix long table_refrences.tex: \cite* keys
hu_closer_2020,A closer look at the performance of neural language models on reflexive anaphor licensing,,,appendix long table_refrences.tex: \cite* keys
hu_language_2024,Language models align with human judgments on key grammatical constructions,,,appendix long table_refrences.tex: \cite* keys
hu_prompting_2023,Prompting is not a substitute for probability measurements in large language models,,,appendix long table_refrences.tex: \cite* keys
hu_systematic_2020,A {Systematic} {Assessment} of {Syntactic} {Generalization} in {Neural} {Language} {Models,,,appendix long table_refrences.tex: \cite* keys
huang_large-scale_2024,Large-scale benchmark yields no evidence that language model surprisal explains syntactic disambiguation difficulty,,,appendix long table_refrences.tex: \cite* keys
huang_rigorously_2023,Rigorously {Assessing} {Natural} {Language} {Explanations} of {Neurons,,,appendix long table_refrences.tex: \cite* keys
huebner_babyberta_2021,BabyBERTa}: {Learning} {More} {Grammar} {With} {Small}-{Scale} {Child}-{Directed} {Language,,,appendix long table_refrences.tex: \cite* keys
ide_how_2025,How to {Make} the {Most} of {LLMs}' {Grammatical} {Knowledge} for {Acceptability} {Judgments,,,appendix long table_refrences.tex: \cite* keys
jawahar_what_2019,What {Does} {BERT} {Learn} about the {Structure} of {Language}?,,,appendix long table_refrences.tex: \cite* keys
jo_roles_2020,Roles and {Utilization} of {Attention} {Heads} in {Transformer}-based {Neural} {Language} {Models,,,appendix long table_refrences.tex: \cite* keys
ju_domain_2025,Domain {Regeneration}: {How} well do {LLMs} match syntactic properties of text domains?,,,appendix long table_refrences.tex: \cite* keys
jumelet:etal:2025,MultiBLiMP 1.0: A Massively Multilingual Benchmark of Linguistic Minimal Pairs,,,appendix long table_refrences.tex: \cite* keys
jumelet_feature_2023,Feature {Interactions} {Reveal} {Linguistic} {Structure} in {Language} {Models,,,appendix long table_refrences.tex: \cite* keys
k_cross-lingual_2020,Cross-{Lingual} {Ability} of {Multilingual} {BERT}: {An} {Empirical} {Study,,,appendix long table_refrences.tex: \cite* keys
kahardipraja-etal-2020-exploring,Exploring Span Representations in Neural Coreference Resolution,,,appendix long table_refrences.tex: \cite* keys
kallini_mission_2024,Mission: {Impossible} {Language} {Models,,,appendix long table_refrences.tex: \cite* keys
kasthuriarachchy_general_2021,From {General} {Language} {Understanding} to {Noisy} {Text} {Comprehension,,,appendix long table_refrences.tex: \cite* keys
kennedy_evidence_2025,Evidence of {Generative} {Syntax} in {LLMs,,,appendix long table_refrences.tex: \cite* keys
kennedy_evidence_2025-1,Evidence of {Hierarchically}-{Complex} {Syntactic} {Structure} {Within} {BERT}’s {Word} {Representations,,,appendix long table_refrences.tex: \cite* keys
kervadec_unnatural_2023,Unnatural language processing: {How} do language models handle machine-generated prompts?,,,appendix long table_refrences.tex: \cite* keys
kim_does_2024,Does {Incomplete} {Syntax} {Influence} {Korean} {Language} {Model}? {Focusing} on {Word} {Order} and {Case} {Markers,,,appendix long table_refrences.tex: \cite* keys
kim_reconstruction_2023,Reconstruction {Probing,,,appendix long table_refrences.tex: \cite* keys
kim_testing_2021,Testing for {Grammatical} {Category} {Abstraction} in {Neural} {Language} {Models,,,appendix long table_refrences.tex: \cite* keys
kissane_probing_2025,Probing {Internal} {Representations} of {Multi}-{Word} {Verbs} in {Large} {Language} {Models,,,appendix long table_refrences.tex: \cite* keys
klafka_spying_2020,Spying on {Your} {Neighbors}: {Fine}-grained {Probing} of {Contextual} {Embeddings} for {Information} about {Surrounding} {Words,,,appendix long table_refrences.tex: \cite* keys
koyama_targeted_2025,Targeted {Syntactic} {Evaluation} for {Grammatical} {Error} {Correction,,,appendix long table_refrences.tex: \cite* keys
krasnowska-kieras-wroblewska-2019-empirical,Empirical Linguistic Study of Sentence Embeddings,,,appendix long table_refrences.tex: \cite* keys
kryvosheieva_controlled_2025,Controlled {Evaluation} of {Syntactic} {Knowledge} in {Multilingual} {Language} {Models,,,appendix long table_refrences.tex: \cite* keys
kulmizev_neural_2020,Do {Neural} {Language} {Models} {Show} {Preferences} for {Syntactic} {Formalisms}?,,,appendix long table_refrences.tex: \cite* keys
kuncoro-etal-2020-syntactic,Syntactic Structure Distillation Pretraining for Bidirectional Encoders,,,appendix long table_refrences.tex: \cite* keys
kunz_classifier_2020,Classifier {Probes} {May} {Just} {Learn} from {Linear} {Context} {Features,,,appendix long table_refrences.tex: \cite* keys
kunz_test_2021,Test {Harder} than {You} {Train}: {Probing} with {Extrapolation} {Splits,,,appendix long table_refrences.tex: \cite* keys
kunz_where_2022,Where {Does} {Linguistic} {Information} {Emerge} in {Neural} {Language} {Models}? {Measuring} {Gains} and {Contributions} across {Layers,,,appendix long table_refrences.tex: \cite* keys
kuribayashi_emergent_2024,Emergent {Word} {Order} {Universals} from {Cognitively}-{Motivated} {Language} {Models,,,appendix long table_refrences.tex: \cite* keys
kuribayashi_lower_2021,Lower {Perplexity} is {Not} {Always} {Human}-{Like,,,appendix long table_refrences.tex: \cite* keys
la_malfa_emergent_2022,Emergent {Linguistic} {Structures} in {Neural} {Networks} are {Fragile,,,appendix long table_refrences.tex: \cite* keys
lakretz_can_2022,Can {Transformers} {Process} {Recursive} {Nested} {Constructions,,,appendix long table_refrences.tex: \cite* keys
lampinen_can_2024,Can {Language} {Models} {Handle} {Recursively} {Nested} {Grammatical} {Structures}? {A} {Case} {Study} on {Comparing} {Models} and {Humans,,,appendix long table_refrences.tex: \cite* keys
lasri_does_2022,Does {BERT} really agree ? {Fine}-grained {Analysis} of {Lexical} {Dependence} on a {Syntactic} {Task,,,appendix long table_refrences.tex: \cite* keys
lasri_subject_2022,Subject {Verb} {Agreement} {Error} {Patterns} in {Meaningless} {Sentences}: {Humans} vs. {BERT,,,appendix long table_refrences.tex: \cite* keys
lasri_word_2022,Word {Order} {Matters} {When} {You} {Increase} {Masking,,,appendix long table_refrences.tex: \cite* keys
lee_bert_2022,({AL}){BERT} {Down} the {Garden} {Path}: {Psycholinguistic} {Experiments} for {Pre}-trained {Language} {Models,,,appendix long table_refrences.tex: \cite* keys
lee_can_2022,Can language models capture syntactic associations without surface cues? {A} case study of reflexive anaphor licensing in {English} control constructions,,,appendix long table_refrences.tex: \cite* keys
lee_decoding_2023,Decoding {BERT}’s {Internal} {Processing} of {Garden}-{Path} {Structures} through {Attention} {Maps,,,appendix long table_refrences.tex: \cite* keys
leong2024testinglearninghypothesesusing,Testing learning hypotheses using neural networks by manipulating learning data,,,appendix long table_refrences.tex: \cite* keys
lepori_picking_2020,Picking {BERT}'s {Brain}: {Probing} for {Linguistic} {Dependencies} in {Contextualized} {Embeddings} {Using} {Representational} {Similarity} {Analysis,,,appendix long table_refrences.tex: \cite* keys
li_are_2021,Are {Transformers} a {Modern} {Version} of {ELIZA}? {Observations} on {French} {Object} {Verb} {Agreement,,,appendix long table_refrences.tex: \cite* keys
li_how_2021,How is {BERT} surprised? {Layerwise} detection of linguistic anomalies,,,appendix long table_refrences.tex: \cite* keys
li_incremental_2024,Incremental {Comprehension} of {Garden}-{Path} {Sentences} by {Large} {Language} {Models}: {Semantic} {Interpretation,,,appendix long table_refrences.tex: \cite* keys
li_neural_2022,Neural reality of argument structure constructions,,,appendix long table_refrences.tex: \cite* keys
li_probing_2022,Probing via {Prompting,,,appendix long table_refrences.tex: \cite* keys
limisiewicz_introducing_2021,Introducing {Orthogonal} {Constraint} in {Structural} {Probes,,,appendix long table_refrences.tex: \cite* keys
limisiewicz_universal_2020,Universal {Dependencies} {According} to {BERT}: {Both} {More} {Specific} and {More} {General,,,appendix long table_refrences.tex: \cite* keys
lin_chatgpt_2023,ChatGPT} is a {Potential} {Zero}-{Shot} {Dependency} {Parser,,,appendix long table_refrences.tex: \cite* keys
lin_open_2019,Open {Sesame}: {Getting} inside {BERT}'s {Linguistic} {Knowledge,,,appendix long table_refrences.tex: \cite* keys
liu_linguistic_2019,Linguistic Knowledge and Transferability of Contextual Representations,,,appendix long table_refrences.tex: \cite* keys
liu_probing_2021,Probing {Across} {Time}: {What} {Does} {RoBERTa} {Know} and {When}?,,,appendix long table_refrences.tex: \cite* keys
luo_have_2021,Have {Attention} {Heads} in {BERT} {Learned} {Constituency} {Grammar}?,,,appendix long table_refrences.tex: \cite* keys
ma_kelly_which_2020,Which {Sentence} {Embeddings} and {Which} {LayersEncode} {Syntactic} {Structure}?,,,appendix long table_refrences.tex: \cite* keys
madhura_pande_heads_2021,The heads hypothesis: {A} unifying statistical approach towards understanding multi-headed attention in {BERT,,,appendix long table_refrences.tex: \cite* keys
mahowald_discerning_2023,A {Discerning} {Several} {Thousand} {Judgments}: {GPT}-3 {Rates} the {Article} + {Adjective} + {Numeral} + {Noun} {Construction,,,appendix long table_refrences.tex: \cite* keys
malkin_studying_2021,Studying word order through iterative shuffling,,,appendix long table_refrences.tex: \cite* keys
manning_emergent_2020,Emergent linguistic structure in artificial neural networks trained by self-supervision,,,appendix long table_refrences.tex: \cite* keys
marecek_balustrades_2019,From {Balustrades} to {Pierre} {Vinken}: {Looking} for {Syntax} in {Transformer} {Self}-{Attentions,,,appendix long table_refrences.tex: \cite* keys
marks_geometry_2024,The {Geometry} of {Truth}: {Emergent} {Linear} {Structure} in {Large} {Language} {Model} {Representations} of {True}/{False} {Datasets,,,appendix long table_refrences.tex: \cite* keys
marks_sparse_2024,Sparse {Feature} {Circuits}: {Discovering} and {Editing} {Interpretable} {Causal} {Graphs} in {Language} {Models,,,appendix long table_refrences.tex: \cite* keys
maudslay_syntactic_2021,Do {Syntactic} {Probes} {Probe} {Syntax}? {Experiments} with {Jabberwocky} {Probing,,,appendix long table_refrences.tex: \cite* keys
maudslay_tale_2020,A {Tale} of a {Probe} and a {Parser,,,appendix long table_refrences.tex: \cite* keys
mccoy_embers_2023,Embers of autoregression show how large language models are shaped by the problem they are trained to solve,,,appendix long table_refrences.tex: \cite* keys
mccoy_right_2019,Right for the {Wrong} {Reasons}: {Diagnosing} {Syntactic} {Heuristics} in {Natural} {Language} {Inference,,,appendix long table_refrences.tex: \cite* keys
mcgee_evidence_2024,Evidence {Against} {Syntactic} {Encapsulation} in {Large} {Language} {Models,,,appendix long table_refrences.tex: \cite* keys
miaschi-etal-2020-linguistic,Linguistic Profiling of a Neural Language Model,,,appendix long table_refrences.tex: \cite* keys
miaschi-etal-2021-probing,Probing Tasks Under Pressure,,,appendix long table_refrences.tex: \cite* keys
miaschi_contextual_2020,Contextual and {Non}-{Contextual} {Word} {Embeddings}: an in-depth {Linguistic} {Investigation,,,appendix long table_refrences.tex: \cite* keys
miaschi_evaluating_2024,Evaluating {Large} {Language} {Models} via {Linguistic} {Profiling,,,appendix long table_refrences.tex: \cite* keys
miaschi_italian_2020,Italian {Transformers} {Under} the {Linguistic} {Lens,,,appendix long table_refrences.tex: \cite* keys
miaschi_testing_2023,Testing the {Effectiveness} of the {Diagnostic} {Probing} {Paradigm} on {Italian} {Treebanks,,,appendix long table_refrences.tex: \cite* keys
michael_asking_2020,Asking without {Telling}: {Exploring} {Latent} {Ontologies} in {Contextual} {Representations,,,appendix long table_refrences.tex: \cite* keys
michaelov_structural_2023,Structural {Priming} {Demonstrates} {Abstract} {Grammatical} {Representations} in {Multilingual} {Language} {Models,,,appendix long table_refrences.tex: \cite* keys
mikhailov_morph_2021,Morph {Call}: {Probing} {Morphosyntactic} {Content} of {Multilingual} {Transformers,,,appendix long table_refrences.tex: \cite* keys
mikhailov_rusenteval_2021,RuSentEval}: {Linguistic} {Source,,,appendix long table_refrences.tex: \cite* keys
min_syntactic_2020,Syntactic {Data} {Augmentation} {Increases} {Robustness} to {Inference} {Heuristics,,,appendix long table_refrences.tex: \cite* keys
misra_language_2024,Language {Models} {Learn} {Rare} {Phenomena} from {Less} {Rare} {Phenomena}: {The} {Case} of the {Missing} {AANNs,,,appendix long table_refrences.tex: \cite* keys
misra_minicons_2022,minicons: {Enabling} {Flexible} {Behavioral} and {Representational} {Analyses} of {Transformer} {Language} {Models,,,appendix long table_refrences.tex: \cite* keys
mohebbi_exploring_2021,Exploring the {Role} of {BERT} {Token} {Representations} to {Explain} {Sentence} {Probing} {Results,,,appendix long table_refrences.tex: \cite* keys
mueller_causal_2022,Causal {Analysis} of {Syntactic} {Agreement} {Neurons} in {Multilingual} {Language} {Models,,,appendix long table_refrences.tex: \cite* keys
mueller_cross-linguistic_2020,Cross-{Linguistic} {Syntactic} {Evaluation} of {Word} {Prediction} {Models,,,appendix long table_refrences.tex: \cite* keys
muller-eberstein_subspace_2023,Subspace {Chronicles}: {How} {Linguistic} {Information} {Emerges,,,appendix long table_refrences.tex: \cite* keys
munoz-ortiz_assessment_2023,Assessment of {Pre}-{Trained} {Models} {Across} {Languages} and {Grammars,,,appendix long table_refrences.tex: \cite* keys
murty_grokking_2023,Grokking of {Hierarchical} {Structure} in {Vanilla} {Transformers,,,appendix long table_refrences.tex: \cite* keys
