bibkey,title,match_confidence,score,method
Kim2020Are,Are Pre-trained Language Models Aware of Phrases? Simple but Strong Baselines for Grammar Induction,,,appendix long table_refrences.tex: \cite* keys
Lovering2021PredictingIB,Predicting Inductive Biases of Pre-Trained Models,,,appendix long table_refrences.tex: \cite* keys
Peters:etal:2018,Deep Contextualized Word Representations,,,appendix long table_refrences.tex: \cite* keys
Tenney:etal:2019b,What do you learn from context? Probing for sentence structure in contextualized word representations,,,appendix long table_refrences.tex: \cite* keys
WILCOX2025104650,Bigger is not always better: The importance of human-scale language modeling for psycholinguistics,,,appendix long table_refrences.tex: \cite* keys
Warstadt:etal:2020,BL}i{MP}: The Benchmark of Linguistic Minimal Pairs for {E}nglish,,,appendix long table_refrences.tex: \cite* keys
abdou_higher-order_2019,Higher-order {Comparisons} of {Sentence} {Encoder} {Representations,,,appendix long table_refrences.tex: \cite* keys
abdou_word_2022,Word {Order} {Does} {Matter} and {Shuffled} {Language} {Models} {Know} {It,,,appendix long table_refrences.tex: \cite* keys
acs_morphosyntactic_2024,Morphosyntactic probing of multilingual {BERT} models,,,appendix long table_refrences.tex: \cite* keys
agarwal:etal:2025,Mechanisms vs. Outcomes: Probing for Syntax Fails to Explain Performance on Targeted Syntactic Evaluations,,,appendix long table_refrences.tex: \cite* keys
ahuja_learning_2025,Learning {Syntax} {Without} {Planting} {Trees}: {Understanding} {Hierarchical} {Generalization} in {Transformers,,,appendix long table_refrences.tex: \cite* keys
alajrami_how_2022,How does the pre-training objective affect what large language models learn about linguistic properties?,,,appendix long table_refrences.tex: \cite* keys
aljaafari_interpreting_2025,Interpreting token compositionality in {LLMs}: {A} robustness analysis,,,appendix long table_refrences.tex: \cite* keys
alkhamissi-etal-2025-language,From Language to Cognition: How {LLM}s Outgrow the Human Language Network,,,appendix long table_refrences.tex: \cite* keys
alleman_syntactic_2021,Syntactic {Perturbations} {Reveal} {Representational} {Correlates} of {Hierarchical} {Phrase} {Structure} in {Pretrained} {Language} {Models,,,appendix long table_refrences.tex: \cite* keys
