bibkey,title,match_confidence,score,method
Abualhaija2024-vj,AI-enabled} regulatory change analysis of legal requirements,,,"Results.tex longtable union (>=50 citations): [('Classification of LLM Applications in Requirements Engineering', 71), ('Common papers using the same input and output artifacts.', 56), ('LLM utilized', 73)]"
Alharbi2024-us,An experiment in retrofitting competency questions for existing ontologies,,,"Results.tex longtable union (>=50 citations): [('Classification of LLM Applications in Requirements Engineering', 71), ('Common papers using the same input and output artifacts.', 56), ('LLM utilized', 73)]"
Arora2016-nn,Extracting domain models from natural-language requirements,,,"Results.tex longtable union (>=50 citations): [('Classification of LLM Applications in Requirements Engineering', 71), ('Common papers using the same input and output artifacts.', 56), ('LLM utilized', 73)]"
Arora2024-gs,Generating test scenarios from {NL} requirements using retrieval-augmented {LLMs}: An industrial study,,,"Results.tex longtable union (>=50 citations): [('Classification of LLM Applications in Requirements Engineering', 71), ('Common papers using the same input and output artifacts.', 56), ('LLM utilized', 73)]"
Arora2024-ib,Towards standards-compliant assistive technology product specifications via {LLMs,,,"Results.tex longtable union (>=50 citations): [('Classification of LLM Applications in Requirements Engineering', 71), ('Common papers using the same input and output artifacts.', 56), ('LLM utilized', 73)]"
Arulmohan2023-xf,Extracting domain models from textual requirements in the era of large language models,,,"Results.tex longtable union (>=50 citations): [('Classification of LLM Applications in Requirements Engineering', 71), ('Common papers using the same input and output artifacts.', 56), ('LLM utilized', 73)]"
Azeem2024-az,A multi-solution study on {GDPR} {AI-enabled} completeness checking of {DPAs,,,"Results.tex longtable union (>=50 citations): [('Classification of LLM Applications in Requirements Engineering', 71), ('Common papers using the same input and output artifacts.', 56), ('LLM utilized', 73)]"
Bertram2023-av,Leveraging natural language processing for a consistency checking toolchain of automotive requirements,,,"Results.tex longtable union (>=50 citations): [('Classification of LLM Applications in Requirements Engineering', 71), ('Common papers using the same input and output artifacts.', 56), ('LLM utilized', 73)]"
Binder2024-gr,A framework for creating an {IoT} system specification with {ChatGPT,,,"Results.tex longtable union (>=50 citations): [('Classification of LLM Applications in Requirements Engineering', 71), ('Common papers using the same input and output artifacts.', 56), ('LLM utilized', 73)]"
Bragilovski2024-cv,Deriving domain models from user stories: Human vs. Machines,,,"Results.tex longtable union (>=50 citations): [('Classification of LLM Applications in Requirements Engineering', 71), ('Common papers using the same input and output artifacts.', 56), ('LLM utilized', 73)]"
Chang2023-zg,A self-iteration code generation method based on large language models,,,"Results.tex longtable union (>=50 citations): [('Classification of LLM Applications in Requirements Engineering', 71), ('Common papers using the same input and output artifacts.', 56), ('LLM utilized', 73)]"
Chen2023-pf,On the use of {GPT-4} for creating goal models: An exploratory study,,,"Results.tex longtable union (>=50 citations): [('Classification of LLM Applications in Requirements Engineering', 71), ('Common papers using the same input and output artifacts.', 56), ('LLM utilized', 73)]"
Chen2024-mj,Building device models using {LLMs} for requirements simulation in smart homes,,,"Results.tex longtable union (>=50 citations): [('Classification of LLM Applications in Requirements Engineering', 71), ('Common papers using the same input and output artifacts.', 56), ('LLM utilized', 73)]"
Cosler2023-uq,Nl2spec: Interactively translating unstructured natural language to temporal logics with Large Language Models,,,"Results.tex longtable union (>=50 citations): [('Classification of LLM Applications in Requirements Engineering', 71), ('Common papers using the same input and output artifacts.', 56), ('LLM utilized', 73)]"
Cotroneo2024-yt,Automating the correctness assessment of {AI-generated} code for security contexts,,,"Results.tex longtable union (>=50 citations): [('Classification of LLM Applications in Requirements Engineering', 71), ('Common papers using the same input and output artifacts.', 56), ('LLM utilized', 73)]"
De_Kinderen2024-np,Towards taming large language models with prompt templates for legal {GRL} modeling,,,"Results.tex longtable union (>=50 citations): [('Classification of LLM Applications in Requirements Engineering', 71), ('Common papers using the same input and output artifacts.', 56), ('LLM utilized', 73)]"
Devathasan2024-tc,Deciphering empathy in developer responses: A hybrid approach utilizing the perception action model and automated classification,,,"Results.tex longtable union (>=50 citations): [('Classification of LLM Applications in Requirements Engineering', 71), ('Common papers using the same input and output artifacts.', 56), ('LLM utilized', 73)]"
El-Hajjami2024-nc,Requirements-classifiers-evaluation-materials,,,"Results.tex longtable union (>=50 citations): [('Classification of LLM Applications in Requirements Engineering', 71), ('Common papers using the same input and output artifacts.', 56), ('LLM utilized', 73)]"
Fantechi2023-gd,Inconsistency detection in natural language requirements using {ChatGPT}: A preliminary evaluation,,,"Results.tex longtable union (>=50 citations): [('Classification of LLM Applications in Requirements Engineering', 71), ('Common papers using the same input and output artifacts.', 56), ('LLM utilized', 73)]"
Fantechi2024-tt,Exploring {LLMs'} ability to detect variability in requirements,,,"Results.tex longtable union (>=50 citations): [('Classification of LLM Applications in Requirements Engineering', 71), ('Common papers using the same input and output artifacts.', 56), ('LLM utilized', 73)]"
Fazelnia2024-hy,Lessons from the use of natural language inference ({NLI}) in requirements engineering tasks,,,"Results.tex longtable union (>=50 citations): [('Classification of LLM Applications in Requirements Engineering', 71), ('Common papers using the same input and output artifacts.', 56), ('LLM utilized', 73)]"
Feng2024-kj,Normative requirements operationalization with large language models,,,"Results.tex longtable union (>=50 citations): [('Classification of LLM Applications in Requirements Engineering', 71), ('Common papers using the same input and output artifacts.', 56), ('LLM utilized', 73)]"
Ferrari2024-pu,Model generation with {LLMs}: From requirements to {UML} sequence diagrams,,,"Results.tex longtable union (>=50 citations): [('Classification of LLM Applications in Requirements Engineering', 71), ('Common papers using the same input and output artifacts.', 56), ('LLM utilized', 73)]"
Gartner2024-hw,Automated requirement contradiction detection through formal logic and {LLMs,,,"Results.tex longtable union (>=50 citations): [('Classification of LLM Applications in Requirements Engineering', 71), ('Common papers using the same input and output artifacts.', 56), ('LLM utilized', 73)]"
Gorer2024-mu,GPT-powered} elicitation interview script generator for requirements engineering training,,,"Results.tex longtable union (>=50 citations): [('Classification of LLM Applications in Requirements Engineering', 71), ('Common papers using the same input and output artifacts.', 56), ('LLM utilized', 73)]"
Gorgen2024-ql,Large language models in enterprise modeling: Case study and experiences,,,"Results.tex longtable union (>=50 citations): [('Classification of LLM Applications in Requirements Engineering', 71), ('Common papers using the same input and output artifacts.', 56), ('LLM utilized', 73)]"
Hassani2024-ej,Rethinking legal compliance automation: Opportunities with large language models,,,"Results.tex longtable union (>=50 citations): [('Classification of LLM Applications in Requirements Engineering', 71), ('Common papers using the same input and output artifacts.', 56), ('LLM utilized', 73)]"
Hassine2024-by,An {LLM-based} approach to recover traceability links between security requirements and goal models,,,"Results.tex longtable union (>=50 citations): [('Classification of LLM Applications in Requirements Engineering', 71), ('Common papers using the same input and output artifacts.', 56), ('LLM utilized', 73)]"
Hasso2024-ge,Quest-RE} {QUestion} generation and exploration {STrategy} for requirements engineering,,,"Results.tex longtable union (>=50 citations): [('Classification of LLM Applications in Requirements Engineering', 71), ('Common papers using the same input and output artifacts.', 56), ('LLM utilized', 73)]"
Hey2024-wh,Requirements classification for traceability link recovery,,,"Results.tex longtable union (>=50 citations): [('Classification of LLM Applications in Requirements Engineering', 71), ('Common papers using the same input and output artifacts.', 56), ('LLM utilized', 73)]"
Jain2023-aq,A transformer-based approach for abstractive summarization of requirements from obligations in software engineering contracts,,,"Results.tex longtable union (>=50 citations): [('Classification of LLM Applications in Requirements Engineering', 71), ('Common papers using the same input and output artifacts.', 56), ('LLM utilized', 73)]"
Karolita2024-rp,CRAFTER}: A persona generation tool for requirements engineering,,,"Results.tex longtable union (>=50 citations): [('Classification of LLM Applications in Requirements Engineering', 71), ('Common papers using the same input and output artifacts.', 56), ('LLM utilized', 73)]"
