bibkey,title,match_confidence,score,method
anastassiou2024seed,Seed-tts: A family of high-quality versatile speech generation models,,,"manuscript.tex union of table blocks with >=29 cites: [('Distribution of Selected Works by Venue, indicating representative years', 30), ('Task Distribution in Identified Works', 30), ('Preference Dataset Segmentation', 30), ('Evaluation Strategies', 29), ('Granular Representation of Evaluation Strategies', 29)]..."
cao2012combining,Combining Ranking and Classification to Improve Emotion Recognition in Spontaneous Speech.,,,"manuscript.tex union of table blocks with >=29 cites: [('Distribution of Selected Works by Venue, indicating representative years', 30), ('Task Distribution in Identified Works', 30), ('Preference Dataset Segmentation', 30), ('Evaluation Strategies', 29), ('Granular Representation of Evaluation Strategies', 29)]..."
cao2015speaker,Speaker-sensitive emotion recognition via ranking: Studies on acted and spontaneous speech,,,"manuscript.tex union of table blocks with >=29 cites: [('Distribution of Selected Works by Venue, indicating representative years', 30), ('Task Distribution in Identified Works', 30), ('Preference Dataset Segmentation', 30), ('Evaluation Strategies', 29), ('Granular Representation of Evaluation Strategies', 29)]..."
chu2024qwen2,Qwen2-audio technical report,,,"manuscript.tex union of table blocks with >=29 cites: [('Distribution of Selected Works by Venue, indicating representative years', 30), ('Task Distribution in Identified Works', 30), ('Preference Dataset Segmentation', 30), ('Evaluation Strategies', 29), ('Granular Representation of Evaluation Strategies', 29)]..."
chumbalov2020scalable,Scalable and efficient comparison-based search without features,,,"manuscript.tex union of table blocks with >=29 cites: [('Distribution of Selected Works by Venue, indicating representative years', 30), ('Task Distribution in Identified Works', 30), ('Preference Dataset Segmentation', 30), ('Evaluation Strategies', 29), ('Granular Representation of Evaluation Strategies', 29)]..."
cideron2024musicrl,Musicrl: Aligning music generation to human preferences,,,"manuscript.tex union of table blocks with >=29 cites: [('Distribution of Selected Works by Venue, indicating representative years', 30), ('Task Distribution in Identified Works', 30), ('Preference Dataset Segmentation', 30), ('Evaluation Strategies', 29), ('Granular Representation of Evaluation Strategies', 29)]..."
dong2020pyramid,A pyramid recurrent network for predicting crowdsourced speech-quality ratings of real-world signals,,,"manuscript.tex union of table blocks with >=29 cites: [('Distribution of Selected Works by Venue, indicating representative years', 30), ('Task Distribution in Identified Works', 30), ('Preference Dataset Segmentation', 30), ('Evaluation Strategies', 29), ('Granular Representation of Evaluation Strategies', 29)]..."
gao2025emo,Emo-dpo: Controllable emotional speech synthesis through direct preference optimization,,,"manuscript.tex union of table blocks with >=29 cites: [('Distribution of Selected Works by Venue, indicating representative years', 30), ('Task Distribution in Identified Works', 30), ('Preference Dataset Segmentation', 30), ('Evaluation Strategies', 29), ('Granular Representation of Evaluation Strategies', 29)]..."
han2020ordinal,Ordinal learning for emotion recognition in customer service calls,,,"manuscript.tex union of table blocks with >=29 cites: [('Distribution of Selected Works by Venue, indicating representative years', 30), ('Task Distribution in Identified Works', 30), ('Preference Dataset Segmentation', 30), ('Evaluation Strategies', 29), ('Granular Representation of Evaluation Strategies', 29)]..."
huang2025step,Step-audio: Unified understanding and generation in intelligent speech interaction,,,"manuscript.tex union of table blocks with >=29 cites: [('Distribution of Selected Works by Venue, indicating representative years', 30), ('Task Distribution in Identified Works', 30), ('Preference Dataset Segmentation', 30), ('Evaluation Strategies', 29), ('Granular Representation of Evaluation Strategies', 29)]..."
jayawardena2020ordinal,How Ordinal Are Your Data?,,,"manuscript.tex union of table blocks with >=29 cites: [('Distribution of Selected Works by Venue, indicating representative years', 30), ('Task Distribution in Identified Works', 30), ('Preference Dataset Segmentation', 30), ('Evaluation Strategies', 29), ('Granular Representation of Evaluation Strategies', 29)]..."
kumar2025using,Using RLHF to align speech enhancement approaches to mean-opinion quality scores,,,"manuscript.tex union of table blocks with >=29 cites: [('Distribution of Selected Works by Venue, indicating representative years', 30), ('Task Distribution in Identified Works', 30), ('Preference Dataset Segmentation', 30), ('Evaluation Strategies', 29), ('Granular Representation of Evaluation Strategies', 29)]..."
lei2023audio,Audio-visual emotion recognition with preference learning based on intended and multi-modal perceived labels,,,"manuscript.tex union of table blocks with >=29 cites: [('Distribution of Selected Works by Venue, indicating representative years', 30), ('Task Distribution in Identified Works', 30), ('Preference Dataset Segmentation', 30), ('Evaluation Strategies', 29), ('Granular Representation of Evaluation Strategies', 29)]..."
