bibkey,title,match_confidence,score,method
hono_sinsy_2021,Sinsy: A deep neural network-based singing voice synthesis system,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
hsu_wg-wavenet_2020,WG-WaveNet: Real-time high-fidelity speech synthesis without GPU,high,1.06,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
hsu_parallel_2022,Parallel Synthesis for Autoregressive Speech Generation,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
hsu_hierarchical_2018,Hierarchical generative modeling for controllable speech synthesis,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
huang2020ai,AI song contest: Human-AI co-creation in songwriting,high,1.06,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
huang_melody_2021,Melody Generation with Emotion Constraint,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
huang_generspeech_2022,GenerSpeech: Towards Style Transfer for Generalizable Out-Of-Domain Text-to-Speech Synthesis,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
huang2023make,Make-An-Audio: Text-To-Audio Generation with Prompt-Enhanced Diffusion Models,high,0.89,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
huang_prodiff_2022,Prodiff: Progressive fast diffusion model for high-quality text-to-speech,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
huang_singgan_2022,Singgan: Generative adversarial network for high-fidelity singing voice generation,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
hung_improving_2019,Improving automatic jazz melody generation by transfer learning techniques,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
jin_voice-preserving_2022,Voice-preserving Zero-shot Multiple Accent Conversion,high,1.0,appendix item title->bibkey exact match (quoted/unquoted + dehyphen)
juvela_speaker-independent_2018,Speaker-independent raw waveform model for glottal excitation,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
kameoka_convs2s-vc_2020,ConvS2S-VC: Fully convolutional sequence-to-sequence voice conversion,high,0.918,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
kameoka_nonparallel_2020,Nonparallel voice conversion with augmented classifier star generative adversarial networks,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
kang_any-speaker_2022,Any-speaker Adaptive Text-To-Speech Synthesis with Diffusion Models,low,0.807,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
katakkar_towards_2021,Towards Language Modelling in the Speech Domain Using Sub-word Linguistic Units,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
kaur_time_2023,Time out of Mind: Generating Rate of Speech conditioned on emotion and speaker,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
wan_chive_2019,CHiVE: Varying prosody in speech synthesis with a linguistically driven dynamic hierarchical conditional variational network,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
kim2021conditional,Conditional variational autoencoder with adversarial learning for end-to-end text-to-speech,high,1.08,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
kim2020glow,Glow-TTS: A generative flow for text-to-speech via monotonic alignment search,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
kim2022guided,Guided-TTS 2: A diffusion model for high-quality adaptive text-to-speech with untranscribed data,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
koh_rethinking_2018,Rethinking recurrent latent variable model for music composition,high,1.08,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
kong_hifi-gan_2020,Hifi-gan: Generative adversarial networks for efficient and high fidelity speech synthesis,high,1.08,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
koo_end--end_2022,End-to-end Music Remastering System Using Self-supervised and Adversarial Training,high,1.08,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
korzekwa_interpretable_2019,Interpretable deep learning model for the detection and reconstruction of dysarthric speech,high,1.06,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
kreuk_audiogen_2022,Audiogen: Textually guided audio generation,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
kwon_effective_2019,Effective parameter estimation methods for an excitnet model in generative text-to-speech systems,high,1.06,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
lee_conditional_2018,Conditional WaveGAN,high,1.0,appendix item title->bibkey exact match (quoted/unquoted + dehyphen)
lee_bigvgan_2023,BigVGAN: A Universal Neural Vocoder with Large-Scale Training,high,1.0,appendix item title->bibkey exact match (quoted/unquoted + dehyphen)
lee_conditional_nodate,Conditional variational autoencoder to improve neural audio synthesis for polyphonic music sound,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
lemercier_analysing_nodate,Analysing Diffusion-based Generative Approaches versus Discriminative Approaches for Speech Restoration,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
li_styletts_2022,StyleTTS: A Style-Based Generative Model for Natural and Diverse Text-to-Speech Synthesis,high,1.08,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
Li2021Robust,Robust Detection of Machine-Induced Audio Attacks in Intelligent Audio Systems with Microphone Array,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
