sr_id,sr_doi,refnum,year,doi,url,raw,bib_key
Dahl2025,10.2196/68707,32,2023,10.18653/v1/2023.bionlp-1.5,,"Rohanian O, Jauncey H, Nouriborji M, et al. Using bottleneck adapters to identify cancer in clinical notes under lowresource constraints. In: Proceedings of the 22nd Workshop on Biomedical Natural Language Processing and BioNLP
Shared Tasks. Association for Computational Linguistics; 2023:62-78. [doi: 10.18653/v1/2023.bionlp-1.5]",Dahl2025_ref0032
Dahl2025,10.2196/68707,33,2024,10.1007/s00330-023-10202-4,,"Martín-Noguerol T, López-Úbeda P, Pons-Escoda A, Luna A. Natural language processing deep learning models for the
differential between high-grade gliomas and metastasis: what if the key is how we report them? Eur Radiol. Mar
2024;34(3):2113-2120. [doi: 10.1007/s00330-023-10202-4] [Medline: 37665389]",Dahl2025_ref0033
Dahl2025,10.2196/68707,34,2019,10.1038/s41598-019-45705-y,,"Thompson J, Hu J, Mudaranthakam DP, et al. Relevant word order vectorization for improved natural language
processing in electronic health records. Sci Rep. Jun 25, 2019;9(1):9253. [doi: 10.1038/s41598-019-45705-y] [Medline:
31239489]",Dahl2025_ref0034
Dahl2025,10.2196/68707,35,2018,10.1109/JBHI.2017.2700722,,"Qiu JX, Yoon HJ, Fearn PA, Tourassi GD. Deep learning for automated extraction of primary sites from cancer
pathology reports. IEEE J Biomed Health Inform. Jan 2018;22(1):244-251. [doi: 10.1109/JBHI.2017.2700722]
[Medline: 28475069]",Dahl2025_ref0035
Dahl2025,10.2196/68707,36,2018,10.1109/BHI.2018.8333408,,"Alawad M, Yoon HJ, Tourassi GD. Coarse-to-fine multi-task training of convolutional neural networks for automated
information extraction from cancer pathology reports. Presented at: 2018 IEEE EMBS International Conference on
Biomedical & Health Informatics (BHI); Mar 4-7, 2018; Las Vegas, NV, USA. [doi: 10.1109/BHI.2018.8333408]",Dahl2025_ref0036
Dahl2025,10.2196/68707,37,2019,10.1109/BHI.2019.8834527,,"Dubey AK, Yoon HJ, Tourassi GD. Inverse regression for extraction of tumor site from cancer pathology reports.
Presented at: 2019 IEEE EMBS International Conference on Biomedical & Health Informatics (BHI); May 19-22, 2019;
Chicago, IL, USA. [doi: 10.1109/BHI.2019.8834527]",Dahl2025_ref0037
Dahl2025,10.2196/68707,38,2020,10.1109/BIBM49941.2020.9313347,,"Wu J, Tang K, Zhang H, Wang C, Li C. Structured information extraction of pathology reports with attention-based
graph convolutional network. Presented at: 2020 IEEE International Conference on Bioinformatics and Biomedicine
(BIBM); Dec 16-19, 2020; Seoul, South Korea. [doi: 10.1109/BIBM49941.2020.9313347]",Dahl2025_ref0038
Dahl2025,10.2196/68707,39,2020,10.1093/jamiaopen/ooaa029,,"Odisho AY, Park B, Altieri N, et al. Natural language processing systems for pathology parsing in limited data
environments with uncertainty estimation. JAMIA Open. Oct 2020;3(3):431-438. [doi: 10.1093/jamiaopen/ooaa029]
[Medline: 33381748]",Dahl2025_ref0039
Dahl2025,10.2196/68707,40,2020,,,"Alawad M, Gao S, Qiu JX, et al. Automatic extraction of cancer registry reportable information from free-text pathology
reports using multitask convolutional neural networks. J Am Med Inform Assoc. Jan 1, 2020;27(1):89-98. [doi: 10.1093/
jamia/ocz153] [Medline: 31710668]",Dahl2025_ref0040
Dahl2025,10.2196/68707,41,2021,10.1109/BIBM52615.2021.9669650,,"Wu J, Zhang R, Gong T, Liu Y, Wang C, Li C. BioIE: biomedical information extraction with multi-head attention
enhanced graph convolutional network. Presented at: 2021 IEEE International Conference on Bioinformatics and
Biomedicine (BIBM); Dec 9-12, 2021; Houston, TX, USA. [doi: 10.1109/BIBM52615.2021.9669650]",Dahl2025_ref0041
Dahl2025,10.2196/68707,42,2021,,,"Rios A, Durbin EB, Hands I, Kavuluru R. Assigning ICD-o-3 codes to pathology reports using neural multi-task training
with hierarchical regularization. Presented at: BCB ’21. ACM. 1-10; Gainesville Florida. Aug 2021.[doi: 10.1145/
3459930.3469541]",Dahl2025_ref0042
Dahl2025,10.2196/68707,43,2021,,,"Park B, Altieri N, DeNero J, Odisho AY, Yu B. Improving natural language information extraction from cancer
pathology reports using transfer learning and zero-shot string similarity. JAMIA Open. Jul 2021;4(3):ooab085. [doi: 10.
1093/jamiaopen/ooab085] [Medline: 34604711]",Dahl2025_ref0043
Dahl2025,10.2196/68707,44,2017,10.48550/arXiv.1706.03762,,"Vaswani A, Shazeer N, Parmar N, et al. Attention is all you need. arXiv. Preprint posted online on Jun 12, 2017. [doi:
10.48550/arXiv.1706.03762]",Dahl2025_ref0044
Dahl2025,10.2196/68707,45,2018,10.48550/arXiv.1810.04805,,"Devlin J, Chang MW, Lee K, Toutanova K. BERT: pre-training of deep bidirectional transformers for language
understanding. arXiv. Preprint posted online on Oct 11, 2018. [doi: 10.48550/arXiv.1810.04805]",Dahl2025_ref0045
Dahl2025,10.2196/68707,46,2017,10.1016/j.jbi.2017.07,,"Kreimeyer K, Foster M, Pandey A, et al. Natural language processing systems for capturing and standardizing
unstructured clinical information: a systematic review. J Biomed Inform. Sep 2017;73:14-29. [doi: 10.1016/j.jbi.2017.07.
012] [Medline: 28729030]",Dahl2025_ref0046
Dahl2025,10.2196/68707,47,2019,10.1016/j.jbi.2019.103301,,"Datta S, Bernstam EV, Roberts K. A frame semantic overview of NLP-based information extraction for cancer-related
EHR notes. J Biomed Inform. Dec 2019;100:103301. [doi: 10.1016/j.jbi.2019.103301] [Medline: 31589927]",Dahl2025_ref0047
Dahl2025,10.2196/68707,48,2025,10.1016/j.jpainsymman.2025.01.019,,"Bilal M, Hamza A, Malik N. NLP for analyzing electronic health records and clinical notes in cancer research: a review.
J Pain Symptom Manage. May 2025;69(5):e374-e394. [doi: 10.1016/j.jpainsymman.2025.01.019] [Medline: 39894080]",Dahl2025_ref0048
Dahl2025,10.2196/68707,49,2021,,,"Giorgia T, Johannes CS, Gerasimos S. A study of BERT’s processing of negations to determine sentiment. BNAIC/
BeneLearn; 2021.",Dahl2025_ref0049
Dahl2025,10.2196/68707,50,2025,10.1162/tacl_a_00298,https://medinform.jmir.org/2025/1/e68707,"Ettinger A. What BERT is not: lessons from a new suite of psycholinguistic diagnostics for language models. Trans
Assoc Comput Linguist. Dec 2020;8:34-48. [doi: 10.1162/tacl_a_00298]
JMIR MEDICAL INFORMATICS
Dahl et al
https://medinform.jmir.org/2025/1/e68707
JMIR Med Inform 2025 | vol. 13 | e68707 | p. 12
(page number not for citation purposes)",Dahl2025_ref0050
Dahl2025,10.2196/68707,51,2025,10.2196/68707,https://medinform.jmir.org/2025/1/e68707,"Choi HS, Song JY, Shin KH, Chang JH, Jang BS. Developing prompts from large language model for extracting clinical
information from pathology and ultrasound reports in breast cancer. Radiat Oncol J. Sep 2023;41(3):209-216. [doi: 10.
3857/roj.2023.00633] [Medline: 37793630]
Abbreviations
BERT: Bidirectional Encoder Representations from Transformers
BT: bidirectional transformer
CRF: conditional random field
EHR: electronic health record
IE: information extraction
LLM: large language model
ML: machine learning
NLP: natural language processing
NN: neural network
PRISMA: Preferred Reporting Items for Systematic Reviews and Meta-Analyses
Edited by Alexandre Castonguay; peer-reviewed by Akhil Chaturvedi, Dillon Chrimes; submitted 12.11.2024; final revised
version received 16.06.2025; accepted 17.06.2025; published 12.09.2025
Please cite as:
Dahl S, Bøgsted M, Sagi T, Vesteghem C
Performance of Natural Language Processing for Information Extraction From Electronic Health Records Within Cancer:
Systematic Review
JMIR Med Inform 2025;13:e68707
URL: https://medinform.jmir.org/2025/1/e68707
doi: 10.2196/68707
© Simon Dahl, Martin Bøgsted, Tomer Sagi, Charles Vesteghem. Originally published in JMIR Medical Informatics (https://
medinform.jmir.org), 12.09.2025. This is an open-access article distributed under the terms of the Creative Commons
Attribution License (https://creativecommons.org/licenses/by/4.0/), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work, first published in JMIR Medical Informatics, is properly cited. The complete
bibliographic information, a link to the original publication on https://medinform.jmir.org/, as well as this copyright and license
information must be included.
JMIR MEDICAL INFORMATICS
Dahl et al
https://medinform.jmir.org/2025/1/e68707
JMIR Med Inform 2025 | vol. 13 | e68707 | p. 13
(page number not for citation purposes)",Dahl2025_ref0051
